,coefficient,pvalues,content
C(model_id)[T.2],-0.0,,-0.0 
C(model_id)[T.4],-0.01,,-0.01 
C(year)[T.1],-0.05,,-0.05 
C(model_id)[T.German_25_False],-0.06,,-0.06 
C(model_id)[T.9_2],-0.13,*,-0.13 *
token_doc_st,-0.14,***,-0.14 ***
C(model_id)[T.10],-0.16,**,-0.16 **
C(model_id)[T.German_25_True],-0.19,**,-0.19 **
C(model_id)[T.9_1],-0.22,***,-0.22 ***
Intercept,-0.23,***,-0.23 ***
C(model_id)[T.chatGPT_title],-0.37,***,-0.37 ***
dependency_distance_mean_st,0.03,*,0.03 *
similarity_st,0.06,***,0.06 ***
C(model_id)[T.3],0.08,,0.08 
C(model_id)[T.chatGPT_pipeline],1.3,***,1.3 ***
C(model_id)[T.German_100],1.3,***,1.3 ***
C(model_id)[T.chatGPT_e2e],1.47,***,1.47 ***
