model_id,0
German_25_False,0.320/0.175&0.521/0.574/0.545&-3.311&0.552&-0.232/0.407/0.463/0.474&0.551
German_25_True,0.315/0.171&0.514/0.567/0.538&-3.360&0.551&-0.248/0.398/0.450/0.461&0.536
German_100,0.382/0.234&0.639/0.597/0.615&-3.421&0.571&-0.206/0.446/0.566/0.589&0.883
1,0.391/0.201&0.537/0.561/0.547&-3.524&0.568&-0.206/0.418/0.469/0.479&1.838
3,0.393/0.200&0.539/0.566/0.551&-3.492&0.569&-0.216/0.416/0.473/0.485&1.725
2,0.388/0.198&0.537/0.561/0.547&-3.534&0.567&-0.231/0.408/0.465/0.477&1.142
4,0.389/0.198&0.540/0.556/0.547&-3.567&0.568&-0.255/0.398/0.461/0.473&1.426
9_2,0.386/0.201&0.536/0.547/0.540&-3.593&0.568&-0.252/0.397/0.453/0.464&1.595
9_1,0.380/0.198&0.530/0.544/0.536&-3.615&0.567&-0.241/0.400/0.448/0.458&1.685
10,0.386/0.202&0.532/0.548/0.539&-3.590&0.568&-0.246/0.399/0.451/0.462&1.635
chatGPT_title,0.304/0.164&0.527/0.530/0.528&-3.857&0.542&-0.700/0.211/0.367/0.398&0.788
chatGPT_e2e,0.399/0.244&0.646/0.607/0.624&-3.363&0.575&-0.194/0.455/0.580/0.605&0.982
chatGPT_pipeline,0.382/0.232&0.637/0.597/0.615&-3.422&0.571&-0.282/0.415/0.554/0.581&0.907
