model_id,0
English_25_False,0.315/0.131&0.830/0.839/0.834&-5.320&0.814&-0.648/0.236/0.387/0.418&0.301\\
English_25_True,0.311/0.130&0.829/0.838/0.833&-5.350&0.814&-0.652/0.234/0.383/0.413&0.291\\
English_100,0.269/0.143&0.874/0.843/0.858&-4.914&0.824&-0.638/0.274/0.506/0.552&0.605\\
1,0.321/0.142&0.853/0.843/0.848&-5.275&0.823&-0.604/0.273/0.462/0.500&1.653\\
2,0.328/0.143&0.853/0.845/0.848&-5.301&0.823&-0.600/0.276/0.465/0.503&1.410\\
3,0.328/0.144&0.854/0.844/0.849&-5.276&0.824&-0.600/0.276/0.467/0.505&1.158\\
4,0.316/0.141&0.855/0.841/0.848&-5.253&0.826&-0.613/0.269/0.460/0.498&1.500\\
5,0.321/0.146&0.852/0.841/0.847&-5.311&0.825&-0.618/0.266/0.453/0.491&1.804\\
6,0.328/0.147&0.855/0.844/0.850&-5.250&0.826&-0.586/0.282/0.472/0.510&1.050\\
11,0.341/0.153&0.855/0.845/0.850&-5.256&0.827&-0.624/0.268/0.468/0.508&0.764\\
chatGPT_title,0.288/0.135&0.857/0.840/0.849&-5.009&0.822&-0.745/0.218/0.444/0.489&0.590\\
chatGPT_e2e,0.282/0.150&0.876/0.843/0.859&-4.949&0.823&-0.655/0.268/0.509/0.557&0.572\\
chatGPT_pipeline,0.285/0.147&0.874/0.843/0.858&-4.933&0.824&-0.636/0.274/0.505/0.551&0.797\\
